F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,Classe
1,24,26,4,4,25,1.8461538461538463,2.0,2,0,14,0,13,13,18,0.9988455357066628,2.1469979040511427,0.52,11,13,12,13,0.9434164716336324,1.166596222161777,1.1094003924504583,1.1409536133993328,0.7722652970033497,5.192426644104978,2.042066115702479,31.496017607369303,-0.04,31,50,26,4.588354347173232,Aleatória
1,20,30,3,8,26,1.5384615384615385,2.142857142857143,2,2,17,5,13,14,18,0.9709505941661296,2.4836263809196426,0.54,7,16,13,13,0.7369655941662062,0.7457969011409736,1.9948914348241347,1.5564371399593104,2.5456909626167374,5.921000148047559,9.737811486374698,38.73646041333114,-0.2,28,49,23,4.24684334837874,Aleatória
1,24,26,6,5,21,2.1818181818181817,2.3636363636363638,0,1,9,1,11,11,17,0.9988455357066628,1.5894653189044423,0.44,13,15,10,11,0.9434164716336324,1.465865045145191,1.2984415324623362,1.3876670474976134,1.0358234528687813,4.188629973916623,3.4635561531802033,20.327568413963984,-0.04,31,50,25,4.49564429268431,Aleatória
1,24,26,7,3,26,1.8461538461538463,1.8571428571428572,2,0,14,4,13,14,18,0.9988455357066628,2.2645970944077445,0.54,11,12,13,13,0.9434164716336324,1.6098807335735654,0.832993127835043,1.26794390878694,2.4597475266470914,4.804174466673884,10.295807173059671,26.588334733834696,-0.04,29,49,26,4.51205489055743,Aleatória
1,23,27,4,4,27,1.6428571428571428,1.9285714285714286,2,0,15,0,14,14,18,0.9953784385316868,2.342306555513176,0.56,9,13,13,14,0.8889686876112561,0.9715336077668174,0.9609731462195507,0.9767710236555246,0.8986438666546236,5.064826826335768,2.5377048242729274,29.73440703260008,-0.08,29,50,27,4.59901141229656,Aleatória
0,27,23,6,7,26,1.9285714285714286,1.7692307692307692,4,1,18,1,14,13,18,0.9953784385316868,2.5706808436676853,0.54,13,10,13,13,0.8889686876112561,1.486332289048915,1.6245163139956058,1.5564371399593109,2.0741898554960385,6.293641314167839,6.528932048547559,42.596561889904514,0.08,30,48,25,4.439337978210768,Humana
-1,25,25,4,5,31,1.5625,1.5625,3,1,24,1,16,16,17,0.9999999997114609,3.392698041382403,0.64,9,9,15,16,1.0,1.0588171466310885,1.1709371246996996,1.1162856937182344,1.8650212606322596,6.535961993691053,5.077908039425713,44.961630174158266,0.0,27,50,23,4.249014336859389,Humana
1,24,26,4,5,29,1.6,1.7333333333333334,0,1,16,1,15,15,17,0.9988455357066628,2.6907248094147422,0.6,9,11,14,15,0.9434164716336324,0.7999999999999999,1.0624918300339485,0.9428090415820631,1.9003494744388467,4.894653551999984,6.731250000000001,25.926162205060887,-0.04,28,50,23,4.25476786960918,Humana
-1,25,25,2,2,43,1.1363636363636365,1.1363636363636365,6,0,38,0,22,22,16,0.9999999997114609,5.368947755380005,0.88,3,3,21,22,1.0,0.34317429251230674,0.34317429251230674,0.34317429251230674,2.1192517713040706,6.622887990222122,5.491228070175442,45.7160712088564,0.0,22,50,14,2.9451720035002102,Humana
-1,25,25,5,4,29,1.6666666666666667,1.6666666666666667,3,0,19,1,15,15,18,0.9999999997114609,2.7856776554368237,0.6,10,10,15,14,1.0,1.0749676997731399,1.0749676997731399,1.0749676997731399,1.657771933451921,5.905390895393422,4.81508875739645,38.35646721224359,0.0,27,48,26,4.5670402169265785,Aleatória
