F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,Classe
0.0,26.0,24.0,2.0,3.0,40.0,1.238095238095238,1.2,6.0,0.0,34.0,1.0,21.0,20.0,17.0,0.9988455357066628,4.798708159494593,0.82,5.0,4.0,20.0,20.0,0.9434164716336324,0.4259177099999599,0.6000000000000001,0.518543698182178,2.327659776991627,6.62011447744219,7.433021379904456,45.72522521199115,0.04,23.0,49.0,13.0,3.2700100369385985,1
0.0,26.0,24.0,2.0,2.0,45.0,1.1304347826086956,1.0434782608695652,7.0,0.0,42.0,0.0,23.0,23.0,16.0,0.9988455357066628,5.895218401382597,0.92,3.0,1.0,23.0,22.0,0.9434164716336324,0.3367811605397753,0.203931119992323,0.2817713347133852,2.931763649279748,6.766599740752967,9.595238095238091,47.15970783378104,0.04,19.0,48.0,10.0,2.3266347815795863,1
-1.0,25.0,25.0,12.0,10.0,23.0,2.083333333333333,2.083333333333333,2.0,2.0,18.0,2.0,12.0,12.0,18.0,0.9999999997114608,2.5396062686959957,0.48,13.0,13.0,12.0,11.0,1.0,3.0127045804208703,2.4986107250941583,2.767620317569269,2.8500045263008924,6.569330443711872,9.67607259193381,45.30662711295821,0.0,27.0,37.0,21.0,3.942495522291783,1
0.0,27.0,23.0,5.0,4.0,23.0,2.25,1.9166666666666667,0.0,0.0,11.0,1.0,12.0,12.0,18.0,0.9953784385316868,1.857309882599024,0.48,15.0,11.0,11.0,12.0,0.8889686876112561,1.479019945774904,1.114924013354971,1.3202482931462385,1.041596501048247,4.545355441113316,2.7576228948746846,23.70337299196958,0.08,29.0,50.0,25.0,4.51205489055743,0
-1.0,25.0,25.0,4.0,4.0,28.0,1.6666666666666667,1.7857142857142858,2.0,0.0,15.0,0.0,15.0,14.0,17.0,0.9999999997114608,2.458373446000424,0.58,10.0,11.0,14.0,14.0,1.0,0.9428090415820634,0.8601138984851641,0.9057879680388756,1.1275148173291991,4.8507073279494985,3.369766855702585,26.45162564172142,0.0,30.0,49.0,27.0,4.588354347173232,1
-1.0,25.0,25.0,2.0,2.0,42.0,1.1363636363636365,1.1904761904761905,5.0,0.0,36.0,0.0,22.0,21.0,17.0,0.9999999997114608,5.114723843962645,0.86,3.0,4.0,21.0,21.0,1.0,0.3431742925123067,0.392676726249301,0.3691746015438964,1.826828286211264,6.515912705720975,4.337301587301583,44.602618566967024,0.0,22.0,49.0,12.0,3.230994305917858,1
1.0,24.0,26.0,4.0,5.0,29.0,1.6,1.7333333333333334,2.0,1.0,18.0,1.0,15.0,15.0,18.0,0.9988455357066628,2.7422618401604177,0.6,9.0,11.0,15.0,14.0,0.9434164716336324,0.8793937305515279,1.18133634311129,1.043498389499902,1.75365097943861,5.495541142444607,5.329029571012075,33.48234495246715,-0.04,31.0,47.0,27.0,4.637586140792589,0
1.0,21.0,29.0,4.0,5.0,24.0,1.6153846153846154,2.4166666666666665,2.0,1.0,12.0,1.0,13.0,12.0,17.0,0.9814538947451146,1.9313207915827968,0.5,8.0,17.0,12.0,12.0,0.7858751946471527,0.8355984993230934,1.3819269959814169,1.2,0.9722222222222222,4.75580578597033,2.7777777777777777,26.57407873268693,-0.16,31.0,49.0,23.0,4.348798912202495,0
0.0,26.0,24.0,5.0,4.0,26.0,2.0,1.7142857142857142,3.0,0.0,18.0,1.0,13.0,14.0,17.0,0.9988455357066628,2.6092910914652667,0.54,13.0,10.0,13.0,13.0,0.9434164716336324,1.4142135623730951,1.2205719636167902,1.325077319999875,1.1327518580549223,6.087944532817666,2.5938647460937503,40.27182468615706,0.04,26.0,49.0,18.0,3.9930483040155336,1
1.0,19.0,31.0,3.0,9.0,19.0,1.9,3.1,0.0,1.0,5.0,6.0,10.0,10.0,16.0,0.9580420219377606,1.42828568570857,0.4,9.0,21.0,9.0,10.0,0.6896598793878495,0.7000000000000001,2.2113344387495983,1.746424919657298,2.478130496046905,4.011390593656711,9.789035205589895,19.02998846597463,-0.24,26.0,50.0,22.0,4.249014336859389,0
